pdc oahuShape 481  {Major Roads}                        ROADS         -1
pdc oahuShape 482  {Other Roads}                        OTHER_ROADS   -1
pdc oahuShape 480  {4WD Roads}                          TRAILS        -1
pdc oahuShape   500001   {Upper origin of stream}             DRAINAGE     101
pdc oahuShape   500002   {Upper origin of stream at body}     DRAINAGE     102
pdc oahuShape   500004   {Stream entering water body}         DRAINAGE     103
pdc oahuShape   500005   {Stream exiting water body}          DRAINAGE     104
pdc oahuShape   500101   Reservoir                            WATER        105
pdc oahuShape   500102   {Covered reservoir}                  WATER        106
pdc oahuShape   500106   {Fish hatchery or farm}              URBAN        107
pdc oahuShape   500109   {Sewage disposal pond}               WATER        108
pdc oahuShape   500111   {Marsh, wetland, swamp, or bog}      WETLANDS     109
pdc oahuShape   500112   {Mangrove area}                      WETLANDS     110
pdc oahuShape   500115   {Flats (tidal, mud, sand, gravel)}   BARREN       111
pdc oahuShape   500116   {Bays, estuaries, gulfs, oceans}     WATER        112
pdc oahuShape   500117   Shoal                                BARREN       113
pdc oahuShape   500121   {Obstruction in water area}          WATER        114
pdc oahuShape   500200   Shoreline                            WATER        115
pdc oahuShape   500201   {Manmade Shorline}                   WATER        116
pdc oahuShape   500203   {Indefinite shoreline}               WATER        117
pdc oahuShape   500301   {Non-flowing well}                   DRAINAGE     118
pdc oahuShape   500404   {Pumping station}                    URBAN        119
pdc oahuShape   500406   {Dam or weir}                        URBAN        120
pdc oahuShape   500410   Rock                                 BARREN       121
pdc oahuShape   500412   Stream                               DRAINAGE     122
pdc oahuShape   500414   {Ditch or Canal}                     DRAINAGE     123
pdc oahuShape   500415   Aqueduct                             DRAINAGE     124
pdc oahuShape   500416   Flume                                DRAINAGE     125
pdc oahuShape   500417   Penstock                             URBAN        126
pdc oahuShape   500418   Siphon                               URBAN        127
pdc oahuShape   500419   {Channel in water area}              WATER        128
pdc oahuShape   500421   {Lake or pond}                       WATER        129
pdc oahuShape  1700001   {Bridge Abutment}			ROADS         37
pdc oahuShape  1700002   {Tunnel Portal}			ROADS	      38
pdc oahuShape  1700005   Cul-de-sac				ROADS	      39
pdc oahuShape  1700006   {Dead end}				URBAN	      40
pdc oahuShape  1700007   Drawbridge				ROADS	      41
pdc oahuShape  1700201   {Class 1, undivided}			ROADS	      42
pdc oahuShape  1700202   {Class 1, divided by centerline}	ROADS	      43
pdc oahuShape  1700203   {Class 1, divided, separated}	        ROADS	      44
pdc oahuShape  1700205   {Class 2, undivided}			ROADS  	      45
pdc oahuShape  1700206   {Class 2, divided by centerline}	ROADS  	      46
pdc oahuShape  1700207   {Class 2, divided, separated}	        ROADS  	      47
